Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,22-241,DEN,@,UTA,L (-10),1,35:33,3,10,.300,1,4,.250,0,0,,0,12,12,7,0,0,4,1,7,5.3,-9
2,2,2017-10-21,22-244,DEN,,SAC,W (+17),1,30:32,0,3,.000,0,1,.000,0,0,,0,9,9,7,1,0,3,4,0,1.9,+21
3,3,2017-10-23,22-246,DEN,,WAS,L (-5),1,35:02,9,14,.643,3,3,1.000,8,8,1.000,2,7,9,5,1,0,7,4,29,22.2,-1
4,4,2017-10-25,22-248,DEN,@,CHO,L (-17),1,30:19,8,12,.667,1,1,1.000,1,1,1.000,6,6,12,0,0,0,2,3,18,15.6,-19
5,5,2017-10-27,22-250,DEN,@,ATL,W (+5),1,34:16,8,16,.500,0,1,.000,2,2,1.000,4,11,15,5,1,0,2,0,18,18.6,+8
6,6,2017-10-29,22-252,DEN,@,BRK,W (+13),1,29:29,9,16,.563,1,3,.333,2,2,1.000,1,13,14,4,1,1,1,3,21,20.3,+7
7,7,2017-10-30,22-253,DEN,@,NYK,L (-6),1,30:10,9,15,.600,6,10,.600,4,6,.667,3,5,8,2,1,1,2,1,28,24.6,+5
8,8,2017-11-01,22-255,DEN,,TOR,W (+18),1,30:38,4,10,.400,0,3,.000,0,0,,3,13,16,10,1,2,0,2,8,17.2,+20
9,9,2017-11-03,22-257,DEN,,MIA,W (+1),1,33:51,8,15,.533,2,6,.333,1,1,1.000,5,9,14,2,4,1,1,4,19,21.4,-5
10,10,2017-11-04,22-258,DEN,,GSW,L (-19),1,19:39,2,6,.333,0,0,,4,4,1.000,1,6,7,3,2,0,1,1,8,9.8,-16
11,11,2017-11-07,22-261,DEN,,BRK,W (+8),1,31:22,16,25,.640,4,9,.444,5,6,.833,2,10,12,5,2,2,1,6,41,37.4,+25
