"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"1",1,2015,10,20,"Away","HOU",3,55,"W",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,0.7,1,1,1,0,0,0,0,0,0,50,22.7,67,102,-7.8
"2",2,2015,10,20,"Home","MIN",18,9,"L",5,8,0.625,0,0,NA,0,0,NA,3,6,9,1,0,0,2,3,10,7.8,10,0.625,0.625,13.4,38.7,23.8,16.8,0,0,20,22.5,103,98,3.2
"3",3,2015,11,20,"Away","OKC",24,26,"L",4,9,0.444,0,0,NA,0,0,NA,3,1,4,0,0,0,1,2,8,3.9,-2,0.444,0.444,11.6,5.8,9.2,0,0,0,10,17.3,93,129,-9.6
"4",4,2015,11,20,"Home","UTA",17,44,"L",1,4,0.25,0,0,NA,3,4,0.75,1,2,3,0,0,1,1,1,5,2.8,-6,0.434,0.25,6.4,11.8,9.2,0,0,4.4,14.8,18.3,87,111,-6.9
"5",5,2015,11,20,"Away","GSW",17,0,"L",2,4,0.5,0,0,NA,0,2,0,2,2,4,1,1,1,1,1,4,4.2,-5,0.41,0.5,11.3,12,11.6,8.5,2.6,5,17,13.8,86,109,-2.8
"6",6,2015,11,20,"Home","POR",15,37,"W",3,3,1,0,0,NA,4,4,1,0,2,2,1,2,0,1,2,10,10.6,-1,1.05,1,0,12.5,7.1,10,6.3,0,17.4,16.8,175,98,13.2
"7",7,2015,11,20,"Home","MIL",14,26,"W",4,7,0.571,0,0,NA,0,1,0,3,2,5,4,2,0,2,0,8,9.8,9,0.538,0.571,25.6,22.2,24.1,51.8,7.6,0,21.2,30.3,111,105,11.4
"8",8,2015,11,20,"Home","HOU",5,48,"W",1,3,0.333,0,1,0,1,2,0.5,2,3,5,0,0,0,1,2,3,1.4,5,0.387,0.333,37.6,59.1,48.1,0,0,0,20.5,35.7,84,93,-16
"9",9,2015,11,20,"Away","PHO",18,17,"L",2,3,0.667,0,0,NA,0,0,NA,2,4,6,0,3,0,0,3,4,7.1,2,0.667,0.667,9.4,24.4,15.9,0,7.8,0,0,7.1,146,89,2
"10",10,2015,11,20,"Away","NOP",0,40,"W",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0.7,0,NA,NA,100,0,94.7,0,0,0,NA,0,230,118,11.5
"11",11,2015,11,20,"Away","SAS",31,54,"L",8,13,0.615,1,1,1,6,6,1,6,6,12,0,2,3,0,2,23,26.4,-2,0.735,0.654,15.8,21,18.1,0,3.3,6.6,0,21,161,108,16.7
"12",12,2015,11,20,"Home","PHO",17,51,"L",2,6,0.333,0,1,0,2,2,1,2,2,4,1,1,0,0,3,6,5.1,-9,0.436,0.333,11.7,15.8,13.4,7.5,2.8,0,0,16.5,116,117,-4.8
"13",13,2015,11,20,"Home","GSW",27,21,"L",3,7,0.429,0,0,NA,5,7,0.714,4,7,11,2,2,1,1,0,11,14.5,-12,0.546,0.429,14.6,31.5,22.2,11.1,3.4,2.9,9,16.2,122,105,6.3
"14",14,2015,11,20,"Home","LAC",24,27,"L",7,13,0.538,0,1,0,2,3,0.667,1,5,6,2,0,0,1,5,16,9.9,-4,0.559,0.538,4.9,19.2,12.9,22.8,0,0,6.5,28.2,111,115,2.8
"15",15,2015,11,20,"Home","SAS",12,24,"L",3,4,0.75,0,0,NA,0,0,NA,1,1,2,0,0,0,3,4,6,0.8,5,0.75,0.75,8.6,11.4,9.8,0,0,0,42.9,26.9,75,104,-12.2
"16",16,2015,11,20,"Away","DAL",18,34,"L",2,3,0.667,1,1,1,3,4,0.75,2,4,6,0,1,0,3,3,8,5.7,-7,0.84,0.833,12.3,23,17.8,0,2.9,0,38.7,19.6,102,99,-1.3
"17",17,2015,11,20,"Away","MIL",25,22,"L",4,7,0.571,0,1,0,0,2,0,1,5,6,2,0,2,1,1,8,7.5,-14,0.508,0.571,4.7,23.1,14,18.5,0,6.4,11.3,16.2,96,99,3.2
"18",18,2015,12,20,"Away","CHI",10,8,"L",3,6,0.5,1,1,1,0,0,NA,0,3,3,0,0,1,0,1,7,5.2,-1,0.583,0.583,0,27.9,12.8,0,0,6.6,0,25.9,108,97,7.4
"19",19,2015,12,20,"Away","TOR",13,54,"W",4,7,0.571,0,0,NA,0,0,NA,1,5,6,0,0,0,0,0,8,6.9,3,0.571,0.571,9.6,38.4,25.6,0,0,0,0,24.2,114,110,-0.2
"20",20,2015,12,20,"Home","ORL",17,4,"L",2,6,0.333,0,0,NA,0,0,NA,1,3,4,1,0,0,0,1,4,2.5,2,0.333,0.333,5.2,18,11.1,12.6,0,0,0,15.4,79,91,-5.1
"21",21,2015,12,20,"Home","MIN",24,31,"W",5,10,0.5,1,2,0.5,8,8,1,3,3,6,4,1,0,2,5,19,16.8,9,0.703,0.55,15.1,13,13.9,31.8,2.1,0,12.9,29.8,139,106,11.8
"22",22,2015,12,20,"Home","HOU",22,5,"W",3,3,1,0,0,NA,3,3,1,0,7,7,1,1,0,1,1,9,10.5,24,1.042,1,0,36.2,19.5,6.1,2.3,0,18.8,10.4,167,112,4.7
"23",23,2015,12,20,"Away","MIN",20,33,"W",3,4,0.75,0,0,NA,0,0,NA,2,1,3,2,2,2,2,3,6,7.7,12,0.75,0.75,15.1,6,10,13.7,5.4,7,33.3,14.2,118,106,4.2
"24",24,2015,12,20,"Away","UTA",21,1,"L",1,5,0.2,0,2,0,5,6,0.833,3,7,10,0,1,0,2,3,7,5.5,-5,0.458,0.2,14,47,27.5,0,2.6,0,20.7,21.2,93,105,-6.2
"25",25,2015,12,20,"Home","NOP",22,53,"L",6,8,0.75,0,1,0,1,2,0.5,1,2,3,2,0,1,0,2,13,12,11,0.732,0.75,5,12.7,8.4,12.9,0,3.9,0,16.8,159,138,2.1
"26",26,2015,12,20,"Home","LAL",29,59,"L",5,7,0.714,0,0,NA,5,6,0.833,6,4,10,5,0,0,3,1,15,17.2,3,0.778,0.714,22.9,15.2,19.1,24.3,0,0,23.7,18.3,140,120,6.2
"27",27,2015,12,20,"Away","PHO",21,32,"W",5,7,0.714,1,2,0.5,2,2,1,5,4,9,2,1,0,2,3,13,14,18,0.825,0.786,23.7,18.2,20.9,14.4,2.3,0,20.2,19.4,144,97,8.8
"28",28,2015,12,20,"Away","SAS",26,9,"L",10,19,0.526,1,2,0.5,1,2,0.5,5,2,7,5,1,1,3,4,22,17,7,0.553,0.553,23.5,9.7,16.7,46.7,2,2.6,13.1,40.5,106,111,12.9
"29",29,2015,12,20,"Away","OKC",17,21,"L",3,7,0.429,1,1,1,0,0,NA,1,2,3,2,1,0,2,4,7,3.4,4,0.5,0.5,5.9,16.8,10.4,14.7,3,0,22.2,22.5,95,129,-6
"30",30,2015,12,20,"Home","CLE",22,25,"L",4,11,0.364,0,0,NA,2,3,0.667,2,5,7,1,1,1,2,6,10,4.4,4,0.406,0.364,9.1,21.8,15.6,7.5,2.2,3.3,14,27.4,82,90,-4.9
"31",31,2015,12,20,"Away","POR",18,22,"L",3,6,0.5,0,0,NA,4,4,1,3,3,6,1,0,2,2,0,10,10.1,0,0.644,0.5,16.7,17.8,17.2,9,0,9.5,20.5,23.3,120,114,2.5
"32",32,2016,1,20,"Away","GSW",5,24,"L",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,2,2,0,-1.8,-17,NA,NA,0,26.5,9.9,22.3,0,0,100,15.3,19,112,-25
"33",33,2016,1,20,"Home","POR",21,54,"L",3,7,0.429,0,1,0,3,4,0.75,4,6,10,2,2,1,2,5,9,9.6,0,0.514,0.429,17.9,39.9,26.7,16,4.8,4,18.6,21.6,108,109,0.5
"34",34,2016,1,20,"Away","MIN",25,45,"W",2,5,0.4,0,1,0,0,0,NA,2,3,5,3,0,0,2,1,4,3.3,-7,0.4,0.4,8.3,13.6,10.8,22.1,0,0,28.6,13.1,81,96,-4.6
"35",35,2016,1,20,"Away","MEM",18,31,"L",4,4,1,1,1,1,0,0,NA,3,2,5,1,0,0,1,2,9,9.4,4,1.125,1.125,15.2,10.2,12.7,12,0,0,20,11.5,165,106,10.3
"36",36,2016,1,20,"Home","CHO",23,8,"W",2,4,0.5,0,1,0,0,0,NA,0,7,7,9,0,1,1,1,4,9.7,4,0.5,0.5,0,32.3,17.3,67.1,0,4.4,20,10.4,132,98,11.7
"37",37,2016,1,20,"Home","GSW",15,45,"W",3,6,0.5,0,1,0,0,0,NA,3,4,7,2,3,0,1,4,6,8.1,13,0.5,0.5,20.3,28.3,24.2,21.9,9.1,0,14.3,18.3,112,91,7.8
"38",38,2016,1,20,"Home","MIA",17,40,"L",4,7,0.571,0,0,NA,1,1,1,2,4,6,5,0,1,1,2,9,10.7,3,0.605,0.571,13.9,27.2,20.6,64.3,0,3.9,11.8,22.4,127,103,13.7
"39",39,2016,1,20,"Home","IND",24,14,"W",6,11,0.545,1,3,0.333,5,6,0.833,2,0,2,3,4,0,1,2,18,18,4,0.66,0.591,9.7,0,5.3,17.4,7.8,0,6.8,23.3,147,116,11.9
